Age,Gender,Location,Monthly_Income,Education_Level,Platforms_Used,Influencer_Follow_Frequency,Influencer_Type,Product_Discovery_Mode,Num_Influencer_Purchases,Trust_Score,Influencer_Product_Categories,Purchase_Motivators,Purchase_Concerns,Try_New_Brand_Likelihood,Avg_Monthly_Influencer_Spend,Willingness_to_Spend_on_New,Buy_Now_Link_Likelihood,Prefer_Brand_Transparency,ROI_Transparency_Importance,Biggest_Purchase_Factor,Best_Value_Influencer_Tier,Engagement_with_Influencer_Content,Feels_Oversaturated,Suggestions_Concerns
34,Male,Berlin,13600,Other,"Facebook, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,4,Home & Living,Peer influence,"Product quality concerns, Delivery issues",5,4977,6889,5,No,2,Other,Micro-influencers,Rarely,Yes,Improve product quality
35,Female,Sydney,7000,Postgraduate,"Twitter, TikTok, Facebook",Rarely,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,5,4,"Food & Beverages, Others",Discounts or offers,Authenticity of product,3,953,1230,3,Yes,4,Trust,Micro-influencers,Never,Yes,Collaborate with trusted influencers
25,Male,Berlin,14400,Postgraduate,"Others, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,5,2,"Fitness, Technology","Brand reputation, Quality of content","Delivery issues, Product quality concerns",3,4007,5161,3,Yes,3,Other,Micro-influencers,Sometimes,Yes,Lower prices
16,Female,New York,15900,High School,"Others, Twitter, YouTube",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,24,5,Fashion,"Brand reputation, Discounts or offers, Peer influence","Delivery issues, Return policies",4,3638,5603,3,Yes,3,Trust,Micro-influencers,Sometimes,Yes,Better product reviews
34,Female,London,23200,Postgraduate,"TikTok, Instagram",Never,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,3,"Home & Living, Fitness","Peer influence, Brand reputation, Quality of content",Return policies,4,667,821,2,Yes,4,Convenience,Micro-influencers,Sometimes,No,Lower prices
38,Male,Dubai,11600,Graduate,"Others, YouTube, Twitter",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,1,3,"Fitness, Food & Beverages",Positive product reviews,"Price, Return policies",3,2923,3866,3,Yes,3,Price,Macro-influencers,Sometimes,Yes,Need more transparency
29,Female,Berlin,16600,Graduate,"YouTube, Instagram, Facebook",Often,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,1,4,Home & Living,Brand reputation,"Authenticity of product, Delivery issues",3,2145,3375,3,Yes,5,Other,Mid-tier influencers,Rarely,No,Improve product quality
37,Male,Dubai,11200,Postgraduate,"TikTok, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,4,"Technology, Food & Beverages",Quality of content,"Price, Product quality concerns",3,977,1110,3,Yes,4,Product quality,Micro-influencers,Rarely,No,Lower prices
26,Male,Dubai,8800,Graduate,"Others, Facebook",Never,Mega-influencers (Over 1 million followers),Through influencer content,2,1,Beauty,"Peer influence, Quality of content","Delivery issues, Price",2,9105,12582,4,Yes,4,Convenience,Micro-influencers,Sometimes,No,Collaborate with trusted influencers
30,Female,Other,11600,Graduate,"Instagram, YouTube, TikTok",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Online search,0,4,"Fitness, Beauty",Quality of content,"Authenticity of product, Product quality concerns",3,944,1478,5,Yes,4,Other,Mid-tier influencers,Always,Yes,Lower prices
20,Male,Sydney,24500,High School,"Twitter, YouTube",Often,"Macro-influencers (100,000 to 1 million followers)",Advertisements,3,4,"Technology, Fitness","Brand reputation, Positive product reviews",Product quality concerns,4,701,1109,4,No,5,Product quality,Micro-influencers,Often,No,No suggestions
26,Male,Other,50400,Graduate,"Facebook, TikTok, YouTube",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,1,3,"Food & Beverages, Technology",Peer influence,Delivery issues,2,1099,1133,5,Yes,1,Price,Micro-influencers,Sometimes,No,Highlight local brands
23,Female,Dubai,11100,Graduate,"Facebook, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,2,1,"Technology, Fashion","Positive product reviews, Quality of content, Brand reputation",Return policies,3,995,1438,4,No,4,Trust,Mid-tier influencers,Often,Yes,Collaborate with trusted influencers
39,Female,Berlin,19500,Graduate,"YouTube, TikTok",Never,"Micro-influencers (1,000 to 10,000 followers)",Online search,5,5,Fitness,"Peer influence, Positive product reviews","Product quality concerns, Delivery issues",2,1227,1373,4,Yes,2,Trust,Micro-influencers,Often,No,Highlight local brands
20,Female,Sydney,14900,Postgraduate,"Facebook, YouTube, Twitter",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,1,"Fitness, Food & Beverages",Quality of content,"Price, Return policies",3,2384,3303,2,Yes,2,Trust,Micro-influencers,Always,Yes,Improve product quality
17,Female,Mumbai,5400,High School,"Twitter, Facebook",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,3,"Technology, Fitness","Quality of content, Peer influence","Product quality concerns, Price",1,5871,5014,3,Yes,5,Trust,Mega-influencers,Rarely,No,No suggestions
30,Male,Dubai,19400,Postgraduate,"Instagram, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Other,2,4,Fashion,"Positive product reviews, Brand reputation, Peer influence",Product quality concerns,1,2274,2740,3,Yes,3,Trust,Micro-influencers,Rarely,No,Improve product quality
18,Female,New York,10100,Postgraduate,"Twitter, YouTube, Instagram",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Online search,4,2,"Food & Beverages, Technology","Positive product reviews, Brand reputation, Discounts or offers","Product quality concerns, Price",3,892,729,4,Yes,3,Trust,Mid-tier influencers,Never,Yes,Improve product quality
26,Male,Sydney,22600,Postgraduate,"Twitter, YouTube",Rarely,"Macro-influencers (100,000 to 1 million followers)",Advertisements,3,2,Fitness,"Quality of content, Peer influence",Product quality concerns,3,1655,2611,3,Yes,4,Price,Micro-influencers,Rarely,Yes,Limit sponsored content
25,Female,Sydney,15800,Postgraduate,"Facebook, Others, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,6,4,"Others, Technology",Peer influence,"Price, Return policies, Delivery issues, Authenticity of product",3,1012,1662,3,Yes,4,Product quality,Micro-influencers,Never,No,Lower prices
18,Female,Mumbai,5800,Graduate,"Facebook, Instagram, Twitter",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,3,"Fashion, Technology","Quality of content, Discounts or offers, Peer influence","Delivery issues, Return policies",4,2664,3322,2,No,4,Price,Mid-tier influencers,Sometimes,Yes,No suggestions
45,Male,Mumbai,15200,Postgraduate,"Instagram, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,1,4,"Fashion, Beauty","Quality of content, Brand reputation","Delivery issues, Return policies",2,1096,1684,3,Yes,4,Trust,Micro-influencers,Rarely,Yes,Improve product quality
31,Male,London,11800,Graduate,"Instagram, Twitter, Others",Often,Mega-influencers (Over 1 million followers),Through influencer content,0,5,"Home & Living, Technology","Positive product reviews, Discounts or offers","Authenticity of product, Return policies",3,2197,2377,4,Yes,5,Trust,Micro-influencers,Sometimes,No,No suggestions
32,Female,Sydney,8800,Graduate,"Instagram, TikTok, Others",Never,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,2,4,"Fashion, Beauty","Peer influence, Quality of content",Return policies,2,2478,3468,5,Yes,3,Trust,Mid-tier influencers,Sometimes,Yes,Collaborate with trusted influencers
27,Male,New York,14200,Graduate,"YouTube, Instagram, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,3,Beauty,"Peer influence, Brand reputation, Quality of content","Product quality concerns, Authenticity of product",4,2398,3809,5,Yes,2,Trust,Micro-influencers,Often,No,Highlight local brands
21,Female,Dubai,21100,Graduate,"Others, Facebook, Instagram",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,1,5,Fashion,"Positive product reviews, Quality of content, Discounts or offers","Delivery issues, Authenticity of product",1,374,489,4,Yes,4,Product quality,Macro-influencers,Rarely,Yes,Lower prices
36,Male,New York,11000,Graduate,"Twitter, TikTok, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,0,3,Home & Living,"Positive product reviews, Quality of content",Product quality concerns,4,462,440,3,Yes,2,Price,Micro-influencers,Sometimes,Yes,Need more transparency
34,Female,Dubai,9900,Postgraduate,"Instagram, Others, YouTube",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,0,4,"Technology, Food & Beverages",Positive product reviews,"Product quality concerns, Price",3,604,603,3,Yes,3,Product quality,Macro-influencers,Always,No,Limit sponsored content
32,Female,New York,18700,Postgraduate,"Instagram, Others, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Other,0,3,Fitness,"Positive product reviews, Discounts or offers",Delivery issues,4,1401,1567,2,No,4,Trust,Micro-influencers,Sometimes,Yes,Lower prices
37,Female,New York,5500,Graduate,"Others, Facebook",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,7,2,Beauty,Peer influence,"Authenticity of product, Delivery issues",3,1660,2197,4,Yes,4,Price,Mid-tier influencers,Rarely,Yes,Lower prices
20,Female,Sydney,8900,Postgraduate,"Twitter, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,4,Fashion,"Brand reputation, Peer influence, Positive product reviews, Quality of content, Discounts or offers",Price,4,1976,2555,4,Yes,3,Convenience,Micro-influencers,Always,No,Limit sponsored content
32,Female,Other,26700,Graduate,"TikTok, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,4,Others,"Quality of content, Discounts or offers","Price, Product quality concerns",4,1388,1705,5,Yes,4,Price,Mega-influencers,Often,Yes,Improve product quality
21,Female,Other,7300,Other,"Others, YouTube, Instagram",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,1,4,"Beauty, Fashion",Quality of content,"Return policies, Authenticity of product",3,1132,1351,5,Yes,3,Product quality,Mid-tier influencers,Sometimes,Yes,Lower prices
35,Female,Dubai,20600,Graduate,"Others, Facebook, YouTube",Rarely,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,1,3,"Technology, Food & Beverages",Discounts or offers,"Price, Delivery issues",2,5077,6970,3,Yes,4,Trust,Mid-tier influencers,Rarely,No,No suggestions
36,Male,Dubai,10600,Postgraduate,"Twitter, Others, YouTube",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,2,5,Food & Beverages,"Discounts or offers, Brand reputation, Positive product reviews",Price,4,2140,1792,4,Yes,5,Trust,Macro-influencers,Often,No,Lower prices
40,Male,Other,16500,Graduate,"Facebook, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Recommendations from friends/family,1,1,Technology,"Positive product reviews, Discounts or offers, Brand reputation","Delivery issues, Product quality concerns",4,2015,2449,3,Yes,5,Trust,Macro-influencers,Often,Yes,Lower prices
24,Male,Other,8500,High School,"TikTok, Others",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,1,4,"Others, Beauty","Brand reputation, Discounts or offers","Authenticity of product, Product quality concerns",4,1811,2287,3,Yes,4,Other,Macro-influencers,Often,Yes,Highlight local brands
22,Male,Mumbai,16000,Postgraduate,"Twitter, TikTok, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,4,Others,Peer influence,"Authenticity of product, Delivery issues",4,940,1564,3,Yes,5,Price,Micro-influencers,Often,Yes,Collaborate with trusted influencers
21,Female,Other,23700,Postgraduate,"TikTok, Instagram, Others",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,4,Home & Living,"Brand reputation, Peer influence, Quality of content","Return policies, Delivery issues",3,1943,2465,5,Yes,3,Trust,Macro-influencers,Often,No,Lower prices
20,Male,Dubai,8500,Graduate,"Instagram, Twitter, Facebook",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,2,3,Fashion,Discounts or offers,"Authenticity of product, Return policies",3,970,1256,4,Yes,4,Convenience,Mid-tier influencers,Sometimes,No,Collaborate with trusted influencers
29,Female,Mumbai,8400,Postgraduate,"YouTube, Others, Facebook",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Other,1,3,"Home & Living, Others",Peer influence,"Return policies, Authenticity of product",5,2344,2478,4,No,5,Trust,Micro-influencers,Often,No,Lower prices
26,Male,Sydney,17000,Graduate,"Instagram, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,2,5,"Home & Living, Fitness",Discounts or offers,"Return policies, Price, Product quality concerns, Delivery issues",4,7443,12508,4,Yes,5,Trust,Micro-influencers,Sometimes,Yes,No suggestions
32,Male,London,17600,Graduate,"TikTok, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,5,2,"Technology, Fitness","Positive product reviews, Brand reputation, Quality of content","Product quality concerns, Authenticity of product",5,2549,2138,3,Yes,5,Product quality,Mid-tier influencers,Sometimes,No,Highlight local brands
28,Male,Sydney,14000,Graduate,"Instagram, Facebook",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Advertisements,1,3,"Others, Technology","Brand reputation, Positive product reviews, Quality of content","Return policies, Authenticity of product",3,2047,2987,4,Yes,5,Convenience,Micro-influencers,Sometimes,Yes,Improve product quality
17,Male,New York,46300,Graduate,"Facebook, Twitter, Others",Never,Mega-influencers (Over 1 million followers),Online search,4,3,Others,"Brand reputation, Positive product reviews, Quality of content","Product quality concerns, Return policies",4,6323,8679,3,Yes,4,Trust,Mid-tier influencers,Often,No,Improve product quality
32,Male,Other,10700,Graduate,"Others, Twitter, Instagram",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,3,"Technology, Others",Brand reputation,"Authenticity of product, Return policies",1,1693,1665,1,No,3,Convenience,Mid-tier influencers,Always,Yes,Limit sponsored content
22,Female,Dubai,33800,Postgraduate,"Facebook, Others",Always,"Micro-influencers (1,000 to 10,000 followers)",Other,2,4,Technology,"Discounts or offers, Peer influence, Quality of content, Positive product reviews",Delivery issues,4,827,1051,3,Yes,5,Trust,Micro-influencers,Sometimes,No,Limit sponsored content
38,Other,New York,16400,Postgraduate,"YouTube, Facebook, Twitter",Never,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,2,2,Beauty,"Brand reputation, Discounts or offers","Price, Authenticity of product",4,3574,5291,1,Yes,3,Other,Micro-influencers,Sometimes,No,Collaborate with trusted influencers
33,Female,Berlin,13900,High School,"Facebook, YouTube",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,4,3,Beauty,"Discounts or offers, Brand reputation","Return policies, Delivery issues",4,5532,5507,4,Yes,4,Trust,Mid-tier influencers,Always,No,Lower prices
19,Female,Other,17800,Graduate,"YouTube, Instagram, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,4,"Beauty, Food & Beverages","Positive product reviews, Peer influence, Brand reputation",Authenticity of product,2,1422,2256,3,No,4,Trust,Mid-tier influencers,Sometimes,No,Lower prices
19,Female,Mumbai,35900,Graduate,"TikTok, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,2,5,"Home & Living, Food & Beverages","Positive product reviews, Brand reputation",Product quality concerns,4,1645,2203,2,Yes,4,Product quality,Macro-influencers,Always,Yes,Better product reviews
28,Female,Dubai,12500,Postgraduate,"TikTok, Facebook",Always,Mega-influencers (Over 1 million followers),Advertisements,2,5,Home & Living,"Brand reputation, Positive product reviews, Quality of content","Return policies, Delivery issues",3,2791,4699,2,No,5,Trust,Micro-influencers,Rarely,Yes,Collaborate with trusted influencers
22,Male,London,19300,Postgraduate,"YouTube, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,1,5,"Beauty, Technology",Peer influence,"Return policies, Product quality concerns",3,2613,2963,4,No,5,Trust,Mid-tier influencers,Sometimes,Yes,Improve product quality
23,Female,Berlin,21600,Postgraduate,"TikTok, YouTube, Facebook",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,3,4,Fitness,Brand reputation,Authenticity of product,4,1903,2697,3,Yes,4,Price,Mid-tier influencers,Rarely,Yes,No suggestions
43,Male,Other,17000,Postgraduate,"Facebook, YouTube, Twitter",Often,Mega-influencers (Over 1 million followers),Through influencer content,0,4,"Technology, Home & Living","Peer influence, Positive product reviews, Discounts or offers",Authenticity of product,3,3331,4756,2,Yes,4,Product quality,Mid-tier influencers,Often,Yes,Collaborate with trusted influencers
39,Male,Sydney,10900,Graduate,"Facebook, Instagram, TikTok",Always,"Macro-influencers (100,000 to 1 million followers)",Online search,0,2,Food & Beverages,Brand reputation,Price,3,28300,26039,3,No,5,Trust,Macro-influencers,Sometimes,No,Need more transparency
16,Male,Sydney,16200,Graduate,"YouTube, Facebook, Twitter, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Other,1,4,"Technology, Home & Living","Discounts or offers, Positive product reviews, Quality of content",Return policies,4,1604,1964,3,Yes,5,Trust,Macro-influencers,Sometimes,Yes,Need more transparency
21,Prefer not to say,Berlin,9100,Postgraduate,"Facebook, Instagram, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,4,"Home & Living, Technology","Quality of content, Discounts or offers","Delivery issues, Authenticity of product",3,758,789,4,Yes,2,Convenience,Micro-influencers,Always,Yes,Better product reviews
16,Female,Sydney,16000,Graduate,"TikTok, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,1,3,"Others, Fashion","Peer influence, Quality of content","Return policies, Authenticity of product",3,245,366,4,Yes,1,Convenience,Mid-tier influencers,Sometimes,Yes,Highlight local brands
33,Female,Dubai,13600,Graduate,"Twitter, YouTube, Others",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Recommendations from friends/family,1,4,"Fitness, Others","Brand reputation, Discounts or offers, Positive product reviews","Authenticity of product, Return policies",4,4388,5976,1,Yes,4,Trust,Mega-influencers,Sometimes,No,Better product reviews
25,Male,New York,18000,Graduate,"Twitter, Instagram",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,Technology,"Peer influence, Quality of content, Positive product reviews","Delivery issues, Return policies",4,1254,2072,2,Yes,4,Trust,Micro-influencers,Often,Yes,Collaborate with trusted influencers
20,Male,Dubai,9700,Postgraduate,"Twitter, Instagram, TikTok",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Other,1,2,Home & Living,Positive product reviews,Price,3,4013,5192,4,Yes,5,Trust,Micro-influencers,Sometimes,Yes,Highlight local brands
16,Male,Dubai,7500,Postgraduate,"Instagram, Facebook, YouTube",Never,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,4,Food & Beverages,"Discounts or offers, Positive product reviews",Price,2,2693,2390,3,Yes,1,Trust,Micro-influencers,Sometimes,No,Lower prices
21,Female,Sydney,13800,Graduate,"Instagram, Others",Often,"Macro-influencers (100,000 to 1 million followers)",Advertisements,4,3,"Fashion, Beauty","Positive product reviews, Quality of content, Peer influence","Delivery issues, Return policies",3,1567,2373,3,No,3,Trust,Micro-influencers,Sometimes,No,Improve product quality
22,Female,Berlin,5000,Graduate,"Instagram, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,1,3,"Beauty, Fashion","Positive product reviews, Brand reputation",Authenticity of product,4,3502,3199,4,Yes,3,Convenience,Micro-influencers,Sometimes,Yes,Highlight local brands
33,Male,Berlin,9000,Postgraduate,"Twitter, TikTok, Facebook",Sometimes,Mega-influencers (Over 1 million followers),Through influencer content,2,4,Fitness,Brand reputation,Product quality concerns,4,5590,7251,4,Yes,4,Price,Macro-influencers,Often,Yes,Collaborate with trusted influencers
30,Female,Other,12800,Graduate,"Twitter, YouTube, TikTok",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Advertisements,0,4,Home & Living,"Discounts or offers, Positive product reviews","Delivery issues, Price",3,1299,1503,2,Yes,1,Product quality,Mid-tier influencers,Sometimes,Yes,No suggestions
36,Female,Other,13700,Graduate,"Facebook, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,5,"Home & Living, Others","Brand reputation, Peer influence","Delivery issues, Price",3,3788,5193,4,No,3,Price,Micro-influencers,Sometimes,Yes,Highlight local brands
23,Male,New York,11700,Graduate,"Instagram, Twitter, TikTok",Rarely,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,4,4,"Home & Living, Food & Beverages","Positive product reviews, Brand reputation","Return policies, Delivery issues",3,7044,9524,3,No,4,Trust,Macro-influencers,Sometimes,Yes,Improve product quality
16,Male,Other,21700,Other,"Instagram, Others",Often,Mega-influencers (Over 1 million followers),Through influencer content,1,1,"Fitness, Home & Living","Quality of content, Discounts or offers",Delivery issues,4,1409,2056,4,Yes,3,Price,Mid-tier influencers,Sometimes,Yes,Improve product quality
28,Male,New York,11100,Graduate,"Facebook, Others, YouTube",Often,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,3,5,"Home & Living, Fashion","Quality of content, Peer influence, Discounts or offers, Positive product reviews","Return policies, Delivery issues",4,2037,2395,5,Yes,5,Trust,Macro-influencers,Often,Yes,Improve product quality
62,Female,Dubai,17600,Graduate,"Instagram, TikTok, YouTube",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,4,"Fashion, Food & Beverages","Discounts or offers, Brand reputation","Authenticity of product, Price",3,665,867,5,Yes,4,Convenience,Micro-influencers,Never,No,No suggestions
26,Male,Mumbai,35900,Other,"YouTube, Twitter, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,3,"Fashion, Fitness","Discounts or offers, Brand reputation","Authenticity of product, Delivery issues",3,993,1526,1,No,5,Convenience,Micro-influencers,Sometimes,Yes,Highlight local brands
32,Female,New York,36200,Postgraduate,"Facebook, Instagram, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Online search,2,5,Food & Beverages,"Quality of content, Peer influence, Brand reputation","Price, Delivery issues",1,1754,2183,5,Yes,5,Product quality,Micro-influencers,Sometimes,Yes,No suggestions
37,Female,Sydney,11400,Graduate,"Others, YouTube, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,3,2,"Fitness, Fashion",Discounts or offers,"Authenticity of product, Return policies",3,1245,1500,4,Yes,4,Convenience,Mid-tier influencers,Sometimes,No,Lower prices
25,Female,Dubai,21500,High School,"Twitter, Others, YouTube",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,4,2,"Fashion, Technology","Peer influence, Discounts or offers",Product quality concerns,3,1844,2527,5,Yes,4,Product quality,Macro-influencers,Often,Yes,Better product reviews
36,Other,Mumbai,17600,Graduate,"Instagram, Others, Facebook",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,5,Beauty,"Discounts or offers, Peer influence, Brand reputation",Return policies,3,2819,2439,3,Yes,2,Trust,Mid-tier influencers,Never,Yes,Lower prices
20,Female,Other,13100,High School,"YouTube, Others, Facebook",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,5,Home & Living,"Positive product reviews, Peer influence, Discounts or offers","Authenticity of product, Return policies",3,1213,1416,4,Yes,4,Trust,Macro-influencers,Sometimes,Yes,Highlight local brands
26,Female,Dubai,17400,Graduate,"Instagram, YouTube",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,2,5,Home & Living,Discounts or offers,Authenticity of product,2,3648,3473,2,Yes,5,Trust,Micro-influencers,Sometimes,Yes,Improve product quality
30,Male,Mumbai,6700,Postgraduate,"TikTok, Twitter, Others",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,0,3,"Technology, Beauty",Quality of content,"Return policies, Product quality concerns",3,1653,2035,4,Yes,5,Other,Mid-tier influencers,Sometimes,Yes,Improve product quality
20,Male,Mumbai,14300,Graduate,"Others, Instagram, TikTok",Always,"Micro-influencers (1,000 to 10,000 followers)",Other,1,3,"Food & Beverages, Fashion","Discounts or offers, Brand reputation",Return policies,4,2663,4110,5,Yes,5,Product quality,Micro-influencers,Always,No,Need more transparency
23,Male,Berlin,22300,High School,"Facebook, YouTube",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,2,3,Beauty,"Quality of content, Brand reputation",Price,3,7123,9769,4,Yes,5,Price,Mid-tier influencers,Often,Yes,Limit sponsored content
34,Female,London,7000,High School,"Facebook, Instagram",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,1,4,Home & Living,Quality of content,"Return policies, Authenticity of product",3,2135,3292,3,No,4,Price,Micro-influencers,Sometimes,No,Lower prices
23,Female,Other,20300,High School,"Twitter, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,5,4,"Technology, Others","Positive product reviews, Brand reputation",Authenticity of product,2,604,772,5,Yes,3,Price,Micro-influencers,Rarely,Yes,Better product reviews
67,Female,Mumbai,21800,Postgraduate,"Twitter, Instagram",Always,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,3,4,Home & Living,"Brand reputation, Peer influence, Discounts or offers",Authenticity of product,3,1115,1726,5,Yes,3,Price,Micro-influencers,Often,No,Limit sponsored content
21,Male,Berlin,16500,Graduate,"Facebook, TikTok",Often,"Micro-influencers (1,000 to 10,000 followers)",Recommendations from friends/family,0,4,Others,Brand reputation,"Price, Return policies",5,2043,2685,4,Yes,4,Price,Mid-tier influencers,Sometimes,No,Improve product quality
16,Male,Berlin,20600,Postgraduate,"Instagram, TikTok, Twitter",Always,Mega-influencers (Over 1 million followers),Through influencer content,1,5,Beauty,Brand reputation,Delivery issues,3,3686,4419,4,Yes,1,Trust,Mid-tier influencers,Rarely,Yes,Limit sponsored content
39,Male,Mumbai,28300,Postgraduate,"YouTube, Others, Facebook",Never,"Micro-influencers (1,000 to 10,000 followers)",Other,3,5,Home & Living,"Peer influence, Positive product reviews, Brand reputation","Product quality concerns, Delivery issues",2,4493,5149,3,Yes,4,Product quality,Mid-tier influencers,Never,Yes,Improve product quality
43,Male,Sydney,13400,Graduate,"TikTok, YouTube, Facebook",Often,"Micro-influencers (1,000 to 10,000 followers)",Online search,1,3,Beauty,Positive product reviews,"Product quality concerns, Delivery issues",3,329,284,5,Yes,3,Other,Mega-influencers,Sometimes,No,Improve product quality
22,Female,Berlin,7500,Graduate,"Instagram, Others, Twitter",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Online search,3,3,Beauty,"Quality of content, Peer influence",Price,3,2336,2863,3,Yes,3,Convenience,Macro-influencers,Sometimes,Yes,Better product reviews
24,Male,Other,45800,Postgraduate,"TikTok, Twitter, Instagram",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,0,4,Technology,Quality of content,"Return policies, Product quality concerns",2,1131,955,4,No,2,Other,Mid-tier influencers,Rarely,Yes,Lower prices
30,Male,Sydney,16900,High School,"YouTube, Instagram",Often,"Micro-influencers (1,000 to 10,000 followers)",Online search,4,3,Home & Living,"Brand reputation, Discounts or offers","Price, Product quality concerns",3,1232,2018,4,Yes,3,Product quality,Macro-influencers,Often,No,Collaborate with trusted influencers
22,Female,Mumbai,13300,Other,"Twitter, YouTube",Often,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,3,Fitness,"Discounts or offers, Brand reputation, Positive product reviews",Delivery issues,3,4850,6034,3,No,4,Product quality,Mid-tier influencers,Sometimes,No,Collaborate with trusted influencers
25,Female,New York,10500,Graduate,"Instagram, TikTok",Sometimes,"Micro-influencers (1,000 to 10,000 followers)",Advertisements,4,4,"Others, Fashion",Brand reputation,Delivery issues,3,1090,1533,5,No,3,Trust,Macro-influencers,Often,Yes,Collaborate with trusted influencers
